timestamp,senamhi_flow,senamhi_level,velocimetry
1749531617000,29.2687,0.12,"[1.3525871200652275, 1.4664935773971557, 1.5325888261698437, 1.6064850822067445, 1.8715743067107813, 2.073444460331288, 2.2336088696782457, 1.9841396385528505, 2.1914086962909027, 2.2418769667200436, 2.055556472890106, 1.5577218143714027, 1.3238865995840934, 1.126657497721344, 0.7454246238453797, 0.6969727680823735, 0.8134871397056284]"
1749535220000,29.2687,0.12,"[1.347174106520343, 1.4760980145960236, 1.5303566980640995, 1.6322985960554157, 1.861701131094351, 2.0601574537311595, 2.20896796961681, 1.999874142127487, 2.1813879515457257, 2.216337475586163, 2.0621898562339998, 1.6336743469811268, 1.40964197377586, 1.215150272851949, 0.7718237951471419, 0.6941601360510146, 1.2626091692733905]"
1749538816000,29.2687,0.12,"[1.365989080768185, 1.4698162288898835, 1.5152310488267904, 1.5914422924826688, 1.842919325081938, 2.052009293958161, 2.221775873952842, 2.0013173357035567, 2.1647934315310744, 2.203456941937095, 2.0462153619566896, 1.5943834020897243, 1.3793659224422148, 1.2310205554230393, 0.7623944053610403, 0.6733844599174305, 1.1976232176937232]"
1749542416000,29.2687,0.12,"[1.3782826654199676, 1.4796351513708166, 1.5524322648226152, 1.6432153936180156, 1.8820785396983397, 2.0966702176553813, 2.2616923640692495, 2.10447433302069, 2.1683591680633927, 2.162214122588983, 2.040795528303816, 1.599107263168439, 1.3193748926367805, 1.1377552100496509, 0.7742005466133919, 0.6932724600084764, 1.0635932367829812]"
1749546016000,28.6487,0.11,"[1.322737960893312, 1.471817095074967, 1.542614857594062, 1.6328074784433866, 1.8719387649266392, 2.0777478777511265, 2.2475436579068915, 2.0693686592786666, 2.1935245337576488, 2.1683574291434438, 2.0321842044301106, 1.5481972669981983, 1.2987942234141006, 1.156244072420757, 0.7680016004186072, 0.7022480002435374, 0.8951311372657064]"
1749549616000,28.6487,0.11,"[1.356714522912057, 1.4768139415020702, 1.5228325087423635, 1.6095672200939386, 1.873007405018147, 2.086974055495398, 2.2544116440514976, 2.0335918152103774, 2.117848764528767, 2.1400856252255296, 2.0231235018577065, 1.517899291358702, 1.2880966732212824, 1.169289132995436, 0.7598336375836712, 0.7046757249103556, 1.1673541437167991]"
1749553216000,28.6487,0.11,"[1.38821862541817, 1.4853564111844373, 1.5481638433623062, 1.6179186211363048, 1.8694664749396124, 2.096665504889446, 2.2621161240384815, 2.1246331210978364, 2.2274911921132525, 2.216416853987102, 2.05130004877049, 1.6199293255748533, 1.3829268438226034, 1.1929985852048364, 0.7800767106275617, 0.740197042512369, 0.6382532768916439]"
1749556816000,28.6487,0.11,"[1.010009658006843, 1.1051498812675224, 1.279847168178285, 1.6082993270670138, 2.0173139973885594, 2.3072307526940157, 2.2823277031500666, 2.110834922404881, 2.2622932975416385, 2.358399327495901, 2.2971139857667784, 2.0622233184118786, 1.9204964440329906, 1.4397057293069226, 0.9713129601676215, 0.8361704914967947, 0.7390995001223695]"
1749560416000,28.6487,0.11,"[1.1256638791015379, 1.1747540676632435, 1.3835454334726651, 1.625605678513993, 1.995442285186286, 2.2901462864546196, 2.2652825205315463, 2.1130711777459172, 2.245754210669471, 2.3422989560143384, 2.277983616534196, 1.9639705349072305, 1.7721434272352683, 1.449442674217059, 0.9610891790093664, 0.8471395923710583, 0.7202749506392958]"
1749564016000,28.6487,0.11,"[1.1451900110590918, 1.1702169463329537, 1.3577018044811187, 1.5758454170433138, 1.9127926694673192, 2.2240998490235397, 2.247114076031215, 1.973638912793058, 2.1646545863784015, 2.3319687760058474, 2.2462607650384157, 1.9192647905574887, 1.714863523930804, 1.3690871220667444, 0.8756539841434121, 0.7803229000531958, 0.689590657123387]"
1749567616000,28.6487,0.11,"[1.138059231519671, 1.1437361403245478, 1.351618645175918, 1.5627075305495453, 1.93983078616935, 2.2084334147113323, 2.230217781390961, 1.9639233353325085, 2.1508099805105085, 2.2878079866879637, 2.2066019598950617, 1.921992276182692, 1.6857770239161187, 1.3823298810877767, 0.870074017692767, 0.7933570806032721, 0.7242006438759391]"
1749571217000,28.6487,0.11,"[1.2496748455830382, 1.131217992881486, 1.302687686720603, 1.5712112026550678, 1.9168813607270736, 2.2085893308955633, 2.2312255479580596, 1.9584404607803623, 2.1804634188964713, 2.297488814699332, 2.211947954014518, 1.9398879373584104, 1.7908121913568906, 1.4153570805400466, 0.8720822864259691, 0.7785239266351099, 0.770070887995171]"
1749574816000,28.6487,0.11,"[1.2798042767041538, 1.2059824633406913, 1.3381449479924457, 1.585635518586147, 2.031324162590673, 2.31680327157328, 2.315915561273926, 2.1000722789469166, 2.207972666051575, 2.298368564617017, 2.2300992611175228, 2.0354634111306362, 1.8821959975058822, 1.3695289799145958, 0.910174748711829, 0.7716324188362873, 0.6746646516172544]"
1749578416000,28.6487,0.11,"[1.235407050002567, 1.1558994687964872, 1.3114700969926723, 1.6167270850196662, 2.0270469793025963, 2.2939189133665407, 2.2815977061877755, 2.0710906132428644, 2.1893157405910912, 2.2936998207406836, 2.2597744550208505, 2.0938881954110986, 1.8630275177126077, 1.350420147048816, 0.9173855141612043, 0.789225538434272, 0.8516688604806898]"
1749582016000,28.6487,0.11,"[1.1342710367964841, 1.1087444870405403, 1.2820932878656155, 1.5773233517996181, 2.0004406949619837, 2.292831109737851, 2.2791295954396333, 2.0553191393144092, 2.2125430353843942, 2.3220761018752807, 2.27489904285153, 2.072272487524251, 1.8911583940804297, 1.4288918320009016, 0.9539160766380415, 0.8550132357634392, 0.781298857465181]"
1749585616000,28.6487,0.11,"[1.0462163508659006, 1.1014000185131423, 1.2631803170065359, 1.5774608097161733, 2.0522971465381232, 2.308378319900132, 2.2660587972685264, 2.1048855011537366, 2.2775509104628666, 2.3463260196353053, 2.294613318593278, 2.182291204035167, 2.014035519746829, 1.5081424798425893, 0.9336914503958901, 0.8499719366574742, 0.7647849381638526]"
1749589216000,28.6487,0.11,"[0.9609146426538865, 1.069403391064608, 1.2381285703269715, 1.521906684970362, 1.9783315218784303, 2.3036319715543128, 2.293423784044144, 2.087199864648184, 2.248376093386909, 2.338233304572985, 2.288717354025224, 2.138133400797563, 1.9561678167025116, 1.4395939106275675, 0.9363490778556968, 0.8515016547585965, 0.7338351128275349]"
1749592817000,28.6487,0.11,"[1.037817233588318, 1.0586017964463879, 1.1960333362432196, 1.4572822018966798, 1.903959153150343, 2.2000299580721734, 2.2280384190982403, 1.9908886018666943, 2.240093576044405, 2.3641790196215093, 2.2782964650943205, 2.0927208687061962, 1.8783173911628255, 1.4251884902510086, 0.8849070279602499, 0.808180328380099, 0.7009377545798943]"
1749596417000,28.6487,0.11,"[1.245716151139438, 1.1857668126673735, 1.1792710569264606, 1.3122910729445765, 1.7383877514165567, 2.0099609754776777, 2.106303780490784, 1.8581025938531723, 2.1628126369454708, 2.2446386651209, 2.066116527089678, 1.7469232267825816, 1.5807755656959481, 1.2289439467530632, 0.7084595895682281, 0.6983764530447818, 0.5225902943272848]"
1749600017000,28.6487,0.11,"[1.3537434929441785, 1.4771351197172269, 1.5557523238526034, 1.6566100018466174, 1.9180027842675915, 2.082012945268846, 2.235316240815483, 2.0011687488421974, 2.0816289572015907, 2.1027131017701546, 1.9679864793468456, 1.434657838764496, 1.237623527756074, 1.1843909612183163, 0.7618288530182388, 0.7068323037039944, 1.153380914841994]"
1749603616000,28.6487,0.11,"[1.328704913563108, 1.4819532642679076, 1.5601066568200908, 1.644924507770293, 1.8821027331244984, 2.046284118761293, 2.219069506690413, 2.050170255994381, 2.109044843628256, 2.1447154146152316, 2.0250448540919486, 1.5473635646388353, 1.3330368521527787, 1.1256797005651769, 0.7423722227830207, 0.6966759291344338, 0.8168118854674202]"
1749607216000,28.6487,0.11,"[1.344209224932267, 1.4815284101382706, 1.5740604490200105, 1.6473117444929746, 1.9033507725806464, 2.0802820729855895, 2.2318694256537537, 2.0451981861915542, 2.1471706186071327, 2.1610322782798943, 2.028956266376571, 1.5442632889542227, 1.3089665892541318, 1.1828191488116109, 0.7879055621125832, 0.7434175319751443, 0.9267188271978928]"
1749610816000,28.6487,0.11,"[1.3637980687169236, 1.5186627395364312, 1.5962056570671075, 1.7022053737250358, 1.9522094575185533, 2.154907667356584, 2.31488223416468, 2.2137621155723717, 2.230920117823856, 2.164194139355693, 2.0263344871428366, 1.6019946831050065, 1.3363932050614247, 1.2003791226599874, 0.8476665708640237, 0.7572041549980179, 0.9529400007286651]"
1749618017000,28.6487,0.11,"[1.3387231239916035, 1.4851939795892029, 1.560215141568079, 1.6157032454332207, 1.8728410494241823, 2.06431724532222, 2.2472204039748096, 2.0544113539543094, 2.2007890778272565, 2.196838566345854, 2.0201582664808173, 1.5475487401705148, 1.3322730010130739, 1.136088478684436, 0.7647743364555264, 0.6936740038781031, 1.2135207378629633]"
1749621621000,28.6487,0.11,"[1.3686885788142458, 1.520113770387994, 1.572810979266313, 1.6425681020545764, 1.902249965523398, 2.0889083115000004, 2.2536706152598076, 2.0539539792580115, 2.1670315321275457, 2.166481438388728, 2.0299958532636904, 1.580282844696778, 1.3187501886273991, 1.1563774635421449, 0.7874622244150798, 0.7093812800485251, 0.656658322100111]"
1749625216000,28.6487,0.11,"[1.3803826278306464, 1.507387287816342, 1.5526751573268351, 1.637095304550545, 1.9092499989053087, 2.118434726855388, 2.2532184469588583, 2.108557417233058, 2.26205370749615, 2.2285427143245964, 2.071268133859487, 1.637668921875821, 1.3461180119663392, 1.1785315630918822, 0.8066632295325477, 0.7543291482421046, 0.8024045758051074]"
1749628816000,28.6487,0.11,"[1.3385700921043642, 1.4679281342082693, 1.539434022604995, 1.5875670791045267, 1.872042341033154, 2.0817424493589756, 2.239140073902429, 2.0289725666823024, 2.158174700003949, 2.197357053853239, 2.0722388388403754, 1.6163561907744417, 1.4133656881823367, 1.2391314792469048, 0.7483790804551007, 0.6898534073120377, 0.6891778232550239]"
1749632417000,28.6487,0.11,"[1.3160302940919022, 1.4618624321969411, 1.5272363175960897, 1.598851420497592, 1.8522852089446602, 2.04668425290955, 2.197687330785793, 2.017806033745635, 2.1982911050038014, 2.2394937858203297, 2.0898427331546228, 1.5972641702824102, 1.361795233522218, 1.1962753950424876, 0.7690341862599456, 0.6975762268756958, 1.029927559302815]"
1749636016000,28.6487,0.11,"[1.3273720082024765, 1.4498260874989635, 1.4985522939169744, 1.5479326008125025, 1.8261551236851825, 2.0241332851871676, 2.1735243536732423, 1.9614308862973064, 2.145757662698361, 2.2121053633933903, 2.0529548805869497, 1.5663083641584665, 1.360231738056346, 1.1801212291663765, 0.7293222413311075, 0.6703014622244722, 0.8314618610244912]"
1749639617000,28.6487,0.11,"[1.345781886761473, 1.4793098749794642, 1.528005348846458, 1.5622070073116392, 1.8267695484826028, 2.0286374039811457, 2.1941432706157338, 2.0339804965282897, 2.2373616457424492, 2.3013716933241586, 2.1128386560849197, 1.648697261950001, 1.384897802343538, 1.199811839448978, 0.7555932899570525, 0.7300650947699969, 0.8323497478362804]"
1749643216000,28.6487,0.11,"[0.8338171889741354, 0.9965746036581191, 1.1593878457030056, 1.4477027649741534, 1.846987484303023, 2.16769108485895, 2.196091751732312, 1.9704372659468106, 2.159086560925374, 2.327920577322877, 2.230201539746478, 2.0028465731191267, 1.8418848242678636, 1.3791081207764464, 0.8714097900162088, 0.774557209673677, 0.6375143786459292]"
1749646817000,28.6487,0.11,"[1.1191423177254343, 1.1639179221520917, 1.381203527851957, 1.5938252965118158, 1.9479249089111514, 2.2469780255351197, 2.26207415741728, 2.0323742323678076, 2.2034639808768484, 2.348957127007857, 2.279909635029142, 1.9882944858585871, 1.834994682742779, 1.4085321793527232, 0.90502135797253, 0.8075870980102919, 0.699969561180818]"
1749650416000,28.6487,0.11,"[1.1633386081472064, 1.1482740454867457, 1.35678467280296, 1.5772739448837452, 1.931906061343528, 2.224790203540222, 2.229807973178778, 1.987837794889857, 2.210911679220042, 2.336585889135881, 2.237771862581716, 1.9740384398219653, 1.793803658597155, 1.4044848459049193, 0.8794550972792087, 0.7988014266703988, 0.7110239707154379]"
1749654016000,28.6487,0.11,"[1.097228122008011, 1.1327863306851231, 1.3607062873443663, 1.6615114183986897, 2.0361047578473532, 2.3097928593296735, 2.298890734919109, 2.1583010336299164, 2.265112647535486, 2.345568291551012, 2.266039166845732, 1.9651063893622744, 1.7662655628609651, 1.4203367557101825, 0.9687547930939501, 0.8448546530779594, 0.7592262134346897]"
1749657616000,28.6487,0.11,"[1.1922452177269087, 1.1475709075088945, 1.3460729148477153, 1.6661141080968798, 2.038402283503308, 2.310339136096779, 2.3166747251621107, 2.1268528537226428, 2.2592083753483148, 2.3589679931107805, 2.2857279840202667, 2.060257903793087, 1.9065510247842863, 1.4882223028711912, 0.9555535049328696, 0.8319879704126869, 0.787158805399043]"
1749661216000,28.6487,0.11,"[1.162566511473343, 1.1596621906464422, 1.3497936842658314, 1.6576662852587876, 2.058455456446188, 2.3288626863002015, 2.3209523670376875, 2.1130455205326406, 2.2019480921077546, 2.324480939884325, 2.273261777531126, 2.1099937760100564, 1.951070977509437, 1.4261704755762983, 0.9434055617878947, 0.8077429062918071, 0.6989271431788496]"
1749664816000,28.6487,0.11,"[1.1617134458459537, 1.161822286519186, 1.3252955518590392, 1.6069293561847626, 2.051198912836618, 2.323261511507794, 2.3190303713228837, 2.135879957031087, 2.2386386210792413, 2.3344496195898827, 2.305773258099227, 2.1553266691002624, 1.9370733530539257, 1.3913044096749334, 0.9302346742725645, 0.7702595419934689, 0.7442924060541061]"
1749668416000,28.6487,0.11,"[1.063438889693342, 1.1270330866589706, 1.3003455626928544, 1.59019856287208, 2.036506222597887, 2.3433500522633124, 2.30619779040784, 2.0740787050240614, 2.2411372931663593, 2.338385748005131, 2.2864407284395765, 2.095416305888177, 1.8966553652456746, 1.448461002008056, 0.969869180062258, 0.8723148428572245, 0.8259925663538659]"
1749672017000,28.6487,0.11,"[0.9662964568466158, 1.1042080088302861, 1.3021647056193009, 1.6175746514680784, 2.065169629086778, 2.3287612382783887, 2.2985332329574506, 2.139420649947057, 2.295317936429126, 2.3669682059411654, 2.321873221015255, 2.203734388828809, 2.0278266878054976, 1.5261404361922382, 0.9701249744170118, 0.8651256402819558, 0.7709379918758761]"
1749675616000,28.6487,0.11,"[1.062486547245772, 1.0867881498346856, 1.2349661174598072, 1.502098911433458, 1.9623752243997465, 2.285582638161392, 2.2739061926604753, 2.063338433401268, 2.247688086291339, 2.3472496303467647, 2.292617369279815, 2.1511900345063926, 1.92931983648979, 1.4459462067939968, 0.926206602861324, 0.8339706796419575, 0.7736354802748411]"
1749679217000,28.6487,0.11,"[1.018377088672653, 1.0720183090588746, 1.2289011507267178, 1.5025378773448776, 1.9621302554191522, 2.313032858142569, 2.310161884559246, 2.081140922618792, 2.246565420621156, 2.361786679053437, 2.302859237888233, 2.102681689888902, 1.9007383720873359, 1.4532980683473573, 0.9101790664682612, 0.8293481540350979, 0.7286087420547256]"
1749682817000,28.0286,0.1,"[1.126255261874751, 1.1000151228107653, 1.1502880158455344, 1.326056999830676, 1.722746605321791, 2.0246701823139865, 2.1030831396332053, 1.8976851189032804, 2.223117841041481, 2.2726622722615026, 2.073494048105849, 1.732528867479158, 1.5583958948615628, 1.2267606265211934, 0.7273815492423966, 0.6961659234047529, 0.5198886196158164]"
1749686417000,28.0286,0.1,"[1.3148183430557907, 1.4768908930125093, 1.5589544098055612, 1.6018649496494592, 1.8576198971850764, 2.025053341440166, 2.197509450929848, 1.9980312214204707, 2.1405466728371363, 2.144277232590231, 1.9500079231249077, 1.439378486404815, 1.2625878592806223, 1.161743930763512, 0.737807542296779, 0.674315842189238, 1.1323411556047518]"
1749690017000,28.0286,0.1,"[1.330097550746089, 1.4603971620376304, 1.5335069799283625, 1.5815740367919602, 1.8600417602948134, 2.0549673514815607, 2.1745925715627066, 1.8996874293894441, 2.148659053626031, 2.1769323804725604, 1.970240844441896, 1.405359167221881, 1.2700973280065935, 1.1073305880809625, 0.6917901182689736, 0.6472454730895573, 1.0195138462182503]"
1749693616000,28.0286,0.1,"[1.3368876264314309, 1.4620338897115988, 1.5286542624239963, 1.6063713867753229, 1.8691964119340847, 2.05190935549927, 2.1965497936454437, 1.9589840186733236, 2.116722360044192, 2.1439984772105394, 1.9847137588804071, 1.5057996068564725, 1.3307090977606046, 1.1690143838112927, 0.7066357501325776, 0.6813773893178469, 0.927119290144044]"
1749697217000,28.0286,0.1,"[1.343437130992022, 1.4607368018161062, 1.5303668413466942, 1.6076563425927872, 1.84017601149048, 2.0212738565150756, 2.1777158819369995, 2.0044198628004124, 2.1637584928763545, 2.1808474990307984, 2.0136768257614874, 1.5389645308794557, 1.3509142006430648, 1.214541296216148, 0.7306477638826904, 0.6931323423815802, 0.8648158221222993]"
