timestamp,senamhi_flow,senamhi_level,velocimetry
1746986423000,37.1825,0.355,"[1.3827374813382478, 1.467768091443917, 1.8805753911063843, 2.2606646732047344, 2.5870044190277808, 2.799066841771911, 2.9067986101064105, 3.0717836364274205, 3.297447998033772, 3.3148688332264626, 3.0787582942128378, 2.730252837610727, 2.231870368854955, 1.7780090064334686, 1.4822777005339873, 1.2786565355606245, 0.9480100240433843]"
1745784024000,31.8046,0.275,"[1.3596218971250527, 1.469148425530325, 1.7122690349350078, 1.9265184988661013, 2.4634237927140386, 2.6976706321819686, 2.835215603525191, 2.932910640576343, 3.0611025286667437, 3.1009392397690183, 2.8940098861415966, 2.5667094847442056, 2.1409196047543717, 1.8049559190079194, 1.5002136026079977, 1.205686896253201, 0.9441144862167018]"
1747573217000,32.813,0.29,"[1.3005150413191267, 1.40954404517007, 1.7211226885035207, 2.2016252683301087, 2.623850163453796, 2.827238420025593, 2.877209197378103, 2.9842241583455027, 3.1910114337534647, 3.232819001594931, 3.0109630701349293, 2.664737728147146, 2.2949931262479786, 1.8685064674774954, 1.4835875670959202, 1.1601948175265662, 0.9434644255966464]"
1749178817000,32.369,0.17,"[1.4127162527530435, 1.5407935958289172, 1.6173978427320574, 1.744208097384367, 1.9976475116676844, 2.186160012584873, 2.3939903937796907, 2.1553068880546693, 2.1043691065231673, 2.079042167725553, 1.9916418220610994, 1.5472023219195643, 1.3038737905284719, 1.1842950780098767, 0.823220203844676, 0.7378797856100142, 0.9061719837068747]"
1747299616000,30.124,0.27,"[1.4509594525058132, 1.5993751336732822, 1.7731221371323758, 1.9542937541871157, 2.2315325731614903, 2.485731326334291, 2.538873845716937, 2.62549768597414, 2.6250363675864303, 2.3537728508374944, 2.237347768893519, 1.9798946178843682, 1.6824669324199566, 1.4493222265838572, 1.1980654451602772, 0.941289516516577, 0.8916961417025179]"
1745856021000,35.838,0.335,"[1.4363199978357744, 1.550046332663262, 1.8023056352347884, 2.013435185936264, 2.4895649692077346, 2.750514365244837, 2.9135801262484295, 3.0529165244898375, 3.219245771721667, 3.230264617539917, 2.9527327575469076, 2.522304018145918, 2.065642894672987, 1.7701590530170077, 1.5284369465751126, 1.201830499357328, 0.9867007484912066]"
1750294817000,25.5484,0.06,"[1.386930795636074, 1.4952896209602333, 1.5769723014955812, 1.6255333186829555, 1.8703061825858787, 2.047346888291059, 2.215947445996297, 1.9656833755426966, 2.142025344102043, 2.1884810818582556, 2.026351399490031, 1.4796108048422534, 1.279328170685204, 1.188587530508069, 0.7589531895806206, 0.7499770739980761, 0.8024031305205517]"
1749934817000,26.7885,0.08,"[1.1940357375800403, 1.0149448302606836, 1.1667325726495539, 1.3666830413843882, 1.8951015139393619, 2.202010343413155, 2.199402113956919, 1.9252251226296693, 2.179156212113359, 2.3179733433392347, 2.225751807065439, 2.06547254722959, 1.8335524270582977, 1.3928358768636253, 0.8601500143467448, 0.8095871880432894, 0.7248213829448323]"
1746601220000,50.2912,0.55,"[1.653529691802807, 1.819394364281859, 2.0074195655717437, 2.3657750320354514, 2.9920853135121566, 3.3438152576647995, 3.353989940502003, 3.5210903067830777, 3.4866140676529893, 3.330822343125435, 2.9780953471425513, 2.3214189789069315, 2.0594458615854765, 1.8098136996910323, 1.6500201302471393, 1.4350276245034068, 1.1270565912953958]"
1746813623000,41.5521,0.42,"[1.327713661561656, 1.4922367471048872, 2.006114009262198, 2.569540705682229, 2.975301156041767, 3.0882437555713476, 3.2117872012285953, 3.3692837326363128, 3.4837461061276827, 3.3907570714165423, 3.033212056593803, 2.4802283206575684, 1.9744869083908145, 1.7108649768076312, 1.5104320511960927, 1.3109350965835747, 1.0354877678764942]"
1746342024000,56.6775,0.645,"[1.9417789682217559, 2.020775175986016, 2.1832266247063097, 2.553319165664576, 3.1803301266530504, 3.4785126942318065, 3.590428356958981, 3.824991377843233, 3.6324361262031717, 3.484996420422347, 3.4322900767971736, 2.880304291632421, 2.5696671944528306, 2.2197047475072305, 1.9513258587105888, 1.7077577871716656, 1.3597957048123024]"
1746054023000,35.838,0.335,"[1.2313704218898536, 1.3470110135434847, 1.6771203619438797, 1.8056725247861614, 2.0994041050095187, 2.3809663039811335, 2.655963868160198, 2.855860875467082, 2.9017065333446235, 2.939408775031757, 2.610675542005721, 2.226566039974184, 1.8884240585376035, 1.593401486350734, 1.2656823802032653, 0.9049111457688214, 0.7022827769451041]"
1748642416000,24.41,0.165,"[1.0293948351520763, 1.1539658566735194, 1.3339069548103892, 1.62876643497624, 2.150153184277457, 2.418481512678943, 2.4031341017316605, 2.248095856381744, 2.3028648712273783, 2.3808920558937654, 2.3777749241150996, 2.2191323457950825, 2.0273544032284043, 1.5196246584329336, 1.0377752948170906, 0.9133061849682482, 0.7858963507091963]"
1749024016000,30.8189,0.15,"[1.414487127102216, 1.5422432436037294, 1.624934207744459, 1.75464659316406, 1.9849518127668717, 2.206156209890486, 2.4105684316084433, 2.2810695011047204, 2.195221283415525, 2.10970493781954, 2.008681645962466, 1.5815387111192, 1.3110667154950613, 1.212866048140676, 0.8662572861329477, 0.727630190176581, 0.8700798132742068]"
