timestamp,senamhi_flow,senamhi_level,velocimetry
1745470823000,41.216,0.415,"[1.549306707880069, 1.828858194208886, 2.0011593896652418, 2.3468595235471446, 2.7435989017713696, 2.9826998306794508, 3.161448465811539, 3.421714624538109, 3.3276861314765487, 3.197147849385394, 2.8552463275352187, 2.2636442221767425, 1.9767476709730625, 1.7368202379074837, 1.5151914969784912, 1.2546592574184205, 0.9562684747083721]"
1745478020000,38.527,0.375,"[1.5071458547797278, 1.7235496506247965, 1.9370897679013723, 2.2391801160743583, 2.5833539301402544, 2.852912528417158, 3.02103113023662, 3.2583767493906923, 3.160358552442299, 3.067090206997856, 2.7684609985023663, 2.2325671358711108, 1.8695577993091996, 1.6222042492404134, 1.3751912659428414, 1.1527143994426665, 0.9103758294621429]"
1745488820000,33.1491,0.295,"[1.4916637947020168, 1.7042886812952616, 1.9067273714740922, 2.124952173773348, 2.3475723250330462, 2.534342750915462, 2.7490599649469067, 3.013345028906131, 2.7183900215994496, 2.708879306845659, 2.589054199094716, 2.1326329534834936, 1.7800479524835702, 1.5358934895553311, 1.2718154568485975, 1.0425924341780064, 0.9908044380518728]"
1745492421000,31.8046,0.275,"[1.2799856744314826, 1.4247468754315094, 1.7618807630952462, 1.9316744129500971, 2.139490336749514, 2.3831401884380408, 2.6103513745453393, 2.7638068268374423, 2.79100290351435, 2.853136999298962, 2.552603859852838, 2.1582074920253724, 1.8047093863673835, 1.5205039040482355, 1.2244669635225132, 0.9110012934194422, 0.682611668371526]"
1745514022000,32.4768,0.285,"[1.3406829645432112, 1.4349080836825943, 1.6691771206343362, 1.8125924720950566, 2.3513340184713276, 2.6574840723660156, 2.805672873990553, 2.909513278850834, 3.068430549921888, 3.0453874657607796, 2.8156488837150015, 2.4619970980536903, 1.981096144294409, 1.6667259211034926, 1.3766292999394327, 1.135525774257568, 0.8699279370217111]"
1745517622000,33.1491,0.295,"[1.3531089032940038, 1.4528096931691628, 1.7160640610195983, 1.8702474968101057, 2.4215582738856347, 2.7262152190116966, 2.8564079171564103, 2.9471310354008993, 3.0764954430092883, 3.049597036223041, 2.8419959569702344, 2.494675514686342, 2.0246729286152796, 1.6930289726478678, 1.4101224538708554, 1.1321727531899806, 0.8736549672345576]"
1745521221000,33.1491,0.295,"[1.3628978925467765, 1.4313030126949406, 1.693993986891644, 1.8283385144733602, 2.3566997684486255, 2.665187834730447, 2.8419380423233203, 2.927079130879192, 3.061435487878317, 3.050886843946838, 2.8170300113420685, 2.477904198505576, 2.0244691374252106, 1.7023541460343024, 1.4482207793603945, 1.1802840151579745, 0.9121910424813481]"
1745524824000,34.4936,0.315,"[1.4429063018072708, 1.5539734233289644, 1.7560738906953905, 2.0431753459958104, 2.542346445632414, 2.787916769001666, 2.9108505667038265, 3.0166574060573432, 3.169319837079277, 3.189784803729611, 2.9697363506167562, 2.6092324537476554, 2.1239861833987446, 1.7846489494438238, 1.5084660638092464, 1.211423752176667, 0.9813765983962829]"
1745528422000,35.838,0.335,"[1.3618162875588766, 1.4613622468084801, 1.765659752208436, 1.9266834519513405, 2.414137116264166, 2.698088512718682, 2.833089230514011, 2.9765753870378306, 3.120347400238904, 3.128183234498754, 2.9308972698551523, 2.6073029894831543, 2.1633782955949554, 1.7757341685403198, 1.461650990021849, 1.1687978787975095, 0.9405649240287706]"
1745532022000,35.1658,0.325,"[1.3904145781019512, 1.5061150717768252, 1.7664270503154016, 1.9739978637988842, 2.4104439469572156, 2.725455887969993, 2.9004654066476765, 2.9949357942274304, 3.1224095943172534, 3.161284347719084, 2.956339171486913, 2.6093910010874497, 2.1661644330310827, 1.798887183822204, 1.4846928328832718, 1.193761466875475, 0.9500354836820668]"
1745535622000,35.1658,0.325,"[1.3289234211621619, 1.4828188222207228, 1.8381568543453222, 1.9920253806043318, 2.2394276515547427, 2.4739773859064442, 2.6452019630138333, 2.7957095243889647, 2.9248852711662643, 3.066285196178286, 2.7566059979869744, 2.3044960924348437, 1.9426737817775404, 1.6536099084359412, 1.3273670628167442, 0.9351323130994476, 0.7492919120044242]"
1745539221000,35.838,0.335,"[1.535633359424271, 1.7455601200160833, 1.953954873647871, 2.202738933301177, 2.4389697569944473, 2.6490490348491718, 2.8206082020888648, 3.041582770653359, 2.9332316637809814, 3.0110726252512023, 2.7754435353745244, 2.2500596744170207, 1.8692015642002622, 1.6111154472745, 1.3535893401701362, 1.1133828429154489, 0.8983215991709476]"
1745542821000,35.838,0.335,"[1.5316426764514322, 1.7644070590123468, 1.9582719492151384, 2.2261611496749616, 2.4649646265469407, 2.693770768836163, 2.855596836074103, 3.0934407556772157, 3.0549292075129673, 3.0419219058952676, 2.8036705742152996, 2.2793849811451485, 1.8972532126596375, 1.6396702838505677, 1.36991616028476, 1.1430281972634064, 1.0121226766216502]"
1745546421000,36.5103,0.345,"[1.5637830767886256, 1.7852860352493534, 1.9666960601366106, 2.202560936627104, 2.441373794895784, 2.6939894916129377, 2.8849926568488464, 3.0971752333550415, 3.0181840726475535, 3.0123381907029034, 2.804640345709122, 2.308199017078749, 1.9006117527210427, 1.6190712680775523, 1.3906669211472746, 1.165371641519961, 0.9305167987717045]"
1745550023000,36.5103,0.345,"[1.5342054663383649, 1.767594844717248, 1.9550070864586955, 2.2192317821166276, 2.4741303931879055, 2.7249374782514826, 2.9410605441597104, 3.1439829017159875, 3.0077144990728, 3.011001180929226, 2.775381528831828, 2.282125901822236, 1.8968876301261988, 1.64937741264629, 1.383330146544981, 1.1599516888015295, 0.8931838974349687]"
1745557222000,36.1742,0.34,"[1.540018570897239, 1.762109542857188, 1.9375857257272469, 2.198428954164995, 2.518051380867764, 2.800181998004463, 3.002858517483077, 3.2452962208840663, 3.123815356429075, 3.0759668160613756, 2.825611761240153, 2.291186308235862, 1.932776114178146, 1.652227947342382, 1.40248581353145, 1.1757680025204351, 0.9058013359608199]"
1745560822000,37.5186,0.36,"[1.502325188660238, 1.760997989458952, 1.9718183910417293, 2.2580273625714375, 2.5707809126131242, 2.8554359776735834, 3.045408754468225, 3.295970402288676, 3.1714511871260216, 3.0964746283852103, 2.841067050745164, 2.26565458404421, 1.8889432091449778, 1.650503120385986, 1.4308690721706236, 1.1664703405818915, 0.9445782672761527]"
1745578821000,30.124,0.25,"[1.3222450887149826, 1.4200938690534257, 1.7500812921387583, 1.934492822473763, 2.1601054500698416, 2.3937423475958, 2.5603588237972574, 2.7048133236401184, 2.7936990421322374, 2.798822251348449, 2.5098927172267538, 2.120677769816228, 1.743400156242901, 1.4973461704649795, 1.1968847739501467, 0.9050001777217815, 0.7036974666717483]"
1745582421000,30.124,0.25,"[1.3056033303619308, 1.4303162011315578, 1.7034967659359128, 1.8258793423402502, 2.328536605694319, 2.554715813361938, 2.6719980654068767, 2.8243405225186327, 2.9874068406776577, 2.9703136566898922, 2.746949620366092, 2.4013802493474565, 1.9886199022201787, 1.6594905089614989, 1.3606399419672193, 1.0908009351862846, 0.863794524648996]"
1745586022000,30.124,0.25,"[1.3432489709747006, 1.4585148238878174, 1.7145661081395327, 1.8588403281161587, 2.296453419047065, 2.5237671352969047, 2.7002691167671875, 2.876847439880448, 3.0481052606162353, 3.005856804960973, 2.7325324390862047, 2.340575904817945, 1.916414589657509, 1.6174976641115761, 1.3314496570640955, 1.0855476621392, 0.8787410178437521]"
1745589621000,28.7795,0.23,"[1.2628541832544493, 1.383818406363205, 1.6714644924854012, 1.8032676144722855, 2.2105989196651232, 2.487580893389856, 2.668413686699269, 2.8245484711146642, 3.0022783530195047, 2.89380267820817, 2.6021339805004624, 2.2086936109604625, 1.7971981425706864, 1.5087928817017855, 1.2519691068330394, 1.0246493801040062, 0.8493316905751831]"
