timestamp,senamhi_flow,senamhi_level,velocimetry
1748638816000,24.41,0.165,"[1.0415337065736854, 1.159125568982172, 1.3744510693699592, 1.7040699027084034, 2.1872455629565133, 2.4422930254510837, 2.4311904807782154, 2.296442530841675, 2.3502716441739495, 2.416555690635339, 2.407655852546348, 2.270246120797227, 2.0684741799853583, 1.5538306704917364, 1.0613047989838393, 0.9431791023038818, 0.8124248570366597]"
1748642416000,24.41,0.165,"[1.0293948351520763, 1.1539658566735194, 1.3339069548103892, 1.62876643497624, 2.150153184277457, 2.418481512678943, 2.4031341017316605, 2.248095856381744, 2.3028648712273783, 2.3808920558937654, 2.3777749241150996, 2.2191323457950825, 2.0273544032284043, 1.5196246584329336, 1.0377752948170906, 0.9133061849682482, 0.7858963507091963]"
1748646017000,24.41,0.165,"[1.1255045470044127, 1.1274949174461786, 1.2575644190709923, 1.4815240506570144, 1.8658009413920729, 2.161494919090584, 2.258934319075096, 2.1195059335949793, 2.2189326424948326, 2.1953315346121016, 2.018741349149611, 1.7698128537485287, 1.6333135431794854, 1.262222637471674, 0.7904804142579062, 0.751403696268959, 0.5614826671427479]"
1748649617000,24.41,0.165,"[1.3548917643714635, 1.5137486938159617, 1.6536564375687515, 1.7746421082206272, 2.0257521175734565, 2.2480123852501186, 2.3997900780081713, 2.3848105278860876, 2.251628559082231, 2.103614900059152, 1.9923359092198023, 1.6285136278007097, 1.3411438023781994, 1.2180944781904983, 0.9341194968234428, 0.8042570137704006, 0.8493241223609523]"
1748653216000,24.41,0.165,"[1.3999912138034947, 1.551038829515685, 1.67995158374754, 1.8087409451761418, 2.045839200214465, 2.240670478731373, 2.4234971155992153, 2.422764661733061, 2.2028453617033157, 2.0261517037402044, 1.9215541405797125, 1.5696189291100346, 1.3048990231810662, 1.1967542322460023, 0.9108205547239352, 0.8267430661318101, 0.8286335677898716]"
1748656817000,25.0822,0.175,"[1.3892672773286687, 1.521236940003803, 1.677484367790296, 1.8042498877675721, 2.0583538924252833, 2.254603477198974, 2.4348878387633888, 2.5150728906832747, 2.2665773541464267, 2.0531139386194677, 1.9400813844138591, 1.592437689879997, 1.3606886592250396, 1.260909354679416, 0.982644710611128, 0.8368438529420964, 0.846607785999959]"
1748660417000,27.7712,0.215,"[1.4497398308942064, 1.575930502688015, 1.7374180314161982, 1.9044920027661816, 2.1811199828103565, 2.4094335618163947, 2.4827503955867507, 2.592910032120073, 2.533430716822298, 2.242187303678626, 2.1415625462313885, 1.7968616539722027, 1.4850446106617503, 1.3501117612136755, 1.1175097979914603, 0.922881331607811, 0.9437125227834675]"
1748664016000,30.4601,0.255,"[1.4177314425457856, 1.6107935182262798, 1.797095613382753, 2.0192525909606167, 2.262100078355685, 2.4853477199069745, 2.4891155060236665, 2.609415608771493, 2.659769529019138, 2.4858769752310104, 2.3618441004987147, 1.9924978436900411, 1.6496445271006928, 1.440446327159854, 1.1847161589347261, 0.9436068838848979, 1.0095815369407708]"
1748667616000,30.124,0.25,"[1.427681432214022, 1.5934315997541728, 1.7636225482998569, 1.9753861786889217, 2.2431298531981785, 2.480681020538017, 2.51410447896908, 2.628399912240058, 2.6583099017432166, 2.438843114878916, 2.3215878845875815, 1.9957754001196617, 1.6531470988940857, 1.437263785830246, 1.1856268869282212, 0.9511464473937893, 0.9680556834211738]"
1748671221000,30.124,0.25,"[1.4449613671916313, 1.6110906149263131, 1.7750888796305078, 1.9682115193650496, 2.2266002071632056, 2.4891632538879387, 2.523475946149302, 2.6202556287460146, 2.6760720484184053, 2.471311327186165, 2.331109577231303, 2.0166862501830556, 1.7061558188629233, 1.4885987011188655, 1.2377694818134848, 0.9608443972542327, 0.9010799954631257]"
